event_id,issue_code,severity,message
MH_chandr_1961:1971,duplicate_row,medium,Duplicate lineage row for MH_chandr_1961
MH_dhule_1951:1981,cycle_rejected,high,Parent and child are identical (MH_dhule_1951)
MH_dhule_1951:1981,duplicate_row,medium,Duplicate lineage row for MH_dhule_1951
MH_jalgao_1951:1961,cycle_rejected,high,Parent and child are identical (MH_jalgao_1951)
MH_greate_1991:2001,duplicate_row,medium,Duplicate lineage row for MH_mumbai_1951
MH_mumbai_1951:2011,cycle_rejected,high,Parent and child are identical (MH_mumbai_1951)
MH_dharas_1981:2024,cycle_rejected,high,Parent and child are identical (MH_dharas_1981)
MH_pune_1951:1981,cycle_rejected,high,Parent and child are identical (MH_pune_1951)
MH_satara_1951:1961,cycle_rejected,high,Parent and child are identical (MH_satara_1951)
MH_thane_1971:1981,cycle_rejected,high,Parent and child are identical (MH_thane_1971)
MH_thane_1971:1981,duplicate_row,medium,Duplicate lineage row for MH_thane_1971
MH_dhule_1951:1961,cycle_rejected,high,Parent and child are identical (MH_dhule_1951)
MH_dhule_1951:1961,duplicate_row,medium,Duplicate lineage row for MH_dhule_1951
MP_khandw_1961:1971,cycle_rejected,high,Parent and child are identical (MP_khandw_1961)
MP_khandw_1961:1971,duplicate_row,medium,Duplicate lineage row for MP_khandw_1961
MP_khandw_1961:2011,cycle_rejected,high,Parent and child are identical (MP_khandw_1961)
MP_goona_1951:1961,duplicate_row,medium,Duplicate lineage row for MP_guna_1961
MP_narmad_1951:2024,cycle_rejected,high,Parent and child are identical (MP_narmad_1951)
MP_khandw_1961:1981,cycle_rejected,high,Parent and child are identical (MP_khandw_1961)
MP_khandw_1961:1981,duplicate_row,medium,Duplicate lineage row for MP_khandw_1961
MP_khargo_1961:1981,cycle_rejected,high,Parent and child are identical (MP_khargo_1961)
MP_khargo_1961:1981,duplicate_row,medium,Duplicate lineage row for MP_khargo_1961
MP_nimar_1951:1961,duplicate_row,medium,Duplicate lineage row for MP_khargo_1961
MP_nimar_1951:1961,duplicate_row,medium,Duplicate lineage row for MP_khandw_1961
MP_khargo_1961:1971,cycle_rejected,high,Parent and child are identical (MP_khargo_1961)
MP_khargo_1961:1971,duplicate_row,medium,Duplicate lineage row for MP_khargo_1961
MP_khargo_1961:2011,cycle_rejected,high,Parent and child are identical (MP_khargo_1961)
LD_laksha_1971:1981,cycle_rejected,high,Parent and child are identical (LD_laksha_1971)
KL_alappu_1961:1991,cycle_rejected,high,Parent and child are identical (KL_alappu_1961)
KL_kannur_1961:1991,cycle_rejected,high,Parent and child are identical (KL_kannur_1961)
KL_kottay_1951:1981,duplicate_row,medium,Duplicate lineage row for KL_idukki_1981
KL_malapp_1951:1961,duplicate_row,medium,Duplicate lineage row for KL_kannur_1961
KL_malapp_1951:1961,duplicate_row,medium,Duplicate lineage row for KL_kannur_1961
KL_malapp_1951:1961,duplicate_row,medium,Duplicate lineage row for KL_kozhik_1961
KL_malapp_1951:1961,duplicate_row,medium,Duplicate lineage row for KL_kozhik_1961
KL_malapp_1951:1961,duplicate_row,medium,Duplicate lineage row for KL_palgha_1961
KL_kollam_1951:1991,cycle_rejected,high,Parent and child are identical (KL_kollam_1951)
KL_thriss_1951:1991,cycle_rejected,high,Parent and child are identical (KL_thriss_1951)
KL_thiruv_1951:1991,cycle_rejected,high,Parent and child are identical (KL_thiruv_1951)
KA_bangal_1981:1991,cycle_rejected,high,Parent and child are identical (KA_bangal_1981)
KA_bangal_1981:1991,duplicate_row,medium,Duplicate lineage row for KA_bangal_1981
KA_belgau_2011:2024,cycle_rejected,high,Parent and child are identical (KA_belgau_2011)
KA_bellar_2011:2024,cycle_rejected,high,Parent and child are identical (KA_bellar_2011)
