event_id,child_cdk,child_name,metric_basis,weight_value,weight_method,weight_confidence,source_year,basis,is_fallback
JK_jammua_1951:1961,JK_poonch_1961,Poonch,production,0.111111,equal_split_fallback,0.35,1961,equal_split_fallback,True
JK_jammua_1951:1961,JK_srinag_1961,Srinagar,area,0.111111,equal_split_fallback,0.35,1961,equal_split_fallback,True
JK_jammua_1951:1961,JK_srinag_1961,Srinagar,production,0.111111,equal_split_fallback,0.35,1961,equal_split_fallback,True
JK_jammua_1951:1961,JK_udhamp_1961,Udhampur,area,0.111111,equal_split_fallback,0.35,1961,equal_split_fallback,True
JK_jammua_1951:1961,JK_udhamp_1961,Udhampur,production,0.111111,equal_split_fallback,0.35,1961,equal_split_fallback,True
KL_kollam_1951:1961,KL_alappu_1961,Alleppey,area,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
KL_kollam_1951:1961,KL_alappu_1961,Alleppey,production,1.0,equal_split_fallback,0.35,1961,equal_split_fallback,True
KL_kottay_1951:1961,KL_alappu_1961,Alleppey,area,0.5,equal_split_fallback,0.35,1961,equal_split_fallback,True
KL_kottay_1951:1961,KL_alappu_1961,Alleppey,production,0.5,equal_split_fallback,0.35,1961,equal_split_fallback,True
KL_kottay_1951:1961,KL_ernaku_1961,Ernakulam,area,0.5,equal_split_fallback,0.35,1961,equal_split_fallback,True
KL_kottay_1951:1961,KL_ernaku_1961,Ernakulam,production,0.5,equal_split_fallback,0.35,1961,equal_split_fallback,True
KL_malapp_1951:1961,KL_kannur_1961,Cannanore,area,0.333333,equal_split_fallback,0.35,1961,equal_split_fallback,True
KL_malapp_1951:1961,KL_kannur_1961,Cannanore,production,0.333333,equal_split_fallback,0.35,1961,equal_split_fallback,True
KL_malapp_1951:1961,KL_kozhik_1961,Kozhikode,area,0.333333,equal_split_fallback,0.35,1961,equal_split_fallback,True
KL_malapp_1951:1961,KL_kozhik_1961,Kozhikode,production,0.333333,equal_split_fallback,0.35,1961,equal_split_fallback,True
