icrisat_code_a,icrisat_code_b,parent_name,child_name,state,split_year,event_type,confidence
137.0,137.0,Surat,Surat,Gujarat,,IDENTITY,1.0
138.0,138.0,Surendranagar,Surendranagar,Gujarat,,IDENTITY,1.0
139.0,139.0,Ajmer,Ajmer,Rajasthan,,IDENTITY,1.0
140.0,140.0,Alwar,Alwar,Rajasthan,,IDENTITY,1.0
141.0,141.0,Banswara,Banswara,Rajasthan,,IDENTITY,1.0
142.0,142.0,Barmer,Barmer,Rajasthan,,IDENTITY,1.0
143.0,143.0,Bharatpur,Bharatpur,Rajasthan,,IDENTITY,1.0
144.0,144.0,Bhilwara,Bhilwara,Rajasthan,,IDENTITY,1.0
145.0,145.0,Bikaner,Bikaner,Rajasthan,,IDENTITY,1.0
146.0,146.0,Bundi,Bundi,Rajasthan,,IDENTITY,1.0
147.0,147.0,Chittorgarh,Chittorgarh,Rajasthan,,IDENTITY,1.0
148.0,148.0,Churu,Churu,Rajasthan,,IDENTITY,1.0
149.0,149.0,Dungarpur,Dungarpur,Rajasthan,,IDENTITY,1.0
150.0,150.0,Ganganagar,Ganganagar,Rajasthan,,IDENTITY,1.0
151.0,151.0,Jaipur,Jaipur,Rajasthan,,IDENTITY,1.0
152.0,152.0,Jaisalmer,Jaisalmer,Rajasthan,,IDENTITY,1.0
153.0,153.0,Jalore,Jalore,Rajasthan,,IDENTITY,1.0
154.0,154.0,Jhalawar,Jhalawar,Rajasthan,,IDENTITY,1.0
155.0,155.0,Jhunjhunu,Jhunjhunu,Rajasthan,,IDENTITY,1.0
156.0,156.0,Jodhpur,Jodhpur,Rajasthan,,IDENTITY,1.0
157.0,157.0,Kota,Kota,Rajasthan,,IDENTITY,1.0
158.0,158.0,Nagaur,Nagaur,Rajasthan,,IDENTITY,1.0
159.0,159.0,Pali,Pali,Rajasthan,,IDENTITY,1.0
160.0,160.0,Swami Madhopur,Swami Madhopur,Rajasthan,,IDENTITY,1.0
161.0,161.0,Sikar,Sikar,Rajasthan,,IDENTITY,1.0
162.0,162.0,Sirohi,Sirohi,Rajasthan,,IDENTITY,1.0
163.0,163.0,Tonk,Tonk,Rajasthan,,IDENTITY,1.0
164.0,164.0,Udaipur,Udaipur,Rajasthan,,IDENTITY,1.0
165.0,165.0,Gurdaspur,Gurdaspur,Punjab,,IDENTITY,1.0
166.0,166.0,Amritsar,Amritsar,Punjab,,IDENTITY,1.0
167.0,167.0,Kapurthala,Kapurthala,Punjab,,IDENTITY,1.0
168.0,168.0,Jalandhar,Jalandhar,Punjab,,IDENTITY,1.0
169.0,169.0,Hoshiarpur,Hoshiarpur,Punjab,,IDENTITY,1.0
170.0,170.0,Roopnagar / Ropar,Roopnagar,Punjab,,RENAME,1.0
171.0,171.0,Ludhiana,Ludhiana,Punjab,,IDENTITY,1.0
172.0,172.0,Ferozpur,Ferozpur,Punjab,,IDENTITY,1.0
174.0,174.0,Bhatinda,Bhatinda,Punjab,,IDENTITY,1.0
175.0,175.0,Sangrur,Sangrur,Punjab,,IDENTITY,1.0
176.0,176.0,Patiala,Patiala,Punjab,,IDENTITY,1.0
177.0,177.0,Hissar,Hissar,Haryana,,IDENTITY,1.0
180.0,180.0,Gurgaon,Gurgaon,Haryana,,IDENTITY,1.0
181.0,181.0,Jind,Jind,Haryana,,IDENTITY,1.0
182.0,182.0,Mahendragarh / Narnaul,Mahendragarh,Haryana,,RENAME,1.0
183.0,183.0,Ambala,Ambala,Haryana,,IDENTITY,1.0
184.0,184.0,Karnal,Karnal,Haryana,,IDENTITY,1.0
186.0,186.0,Rohtak,Rohtak,Haryana,,IDENTITY,1.0
189.0,189.0,Saharanpur,Saharanpur,Uttar Pradesh,,IDENTITY,1.0
190.0,190.0,Muzaffarnagar,Muzaffarnagar,Uttar Pradesh,,IDENTITY,1.0
191.0,191.0,Meerut,Meerut,Uttar Pradesh,,IDENTITY,1.0
192.0,192.0,Buland Shahar,Buland Shahar,Uttar Pradesh,,IDENTITY,1.0
194.0,194.0,Aligarh,Aligarh,Uttar Pradesh,,IDENTITY,1.0
195.0,195.0,Mathura,Mathura,Uttar Pradesh,,IDENTITY,1.0
196.0,196.0,Agra,Agra,Uttar Pradesh,,IDENTITY,1.0
197.0,197.0,Mainpuri,Mainpuri,Uttar Pradesh,,IDENTITY,1.0
198.0,198.0,Etah,Etah,Uttar Pradesh,,IDENTITY,1.0
199.0,199.0,Bareilly,Bareilly,Uttar Pradesh,,IDENTITY,1.0
200.0,200.0,Budaun,Budaun,Uttar Pradesh,,IDENTITY,1.0
201.0,201.0,Moradabad,Moradabad,Uttar Pradesh,,IDENTITY,1.0
202.0,202.0,Shahjahanpur,Shahjahanpur,Uttar Pradesh,,IDENTITY,1.0
203.0,203.0,Pilibhit,Pilibhit,Uttar Pradesh,,IDENTITY,1.0
204.0,204.0,Rampur,Rampur,Uttar Pradesh,,IDENTITY,1.0
205.0,205.0,Bijnor,Bijnor,Uttar Pradesh,,IDENTITY,1.0
206.0,206.0,Farrukhabad,Farrukhabad,Uttar Pradesh,,IDENTITY,1.0
207.0,207.0,Etawah,Etawah,Uttar Pradesh,,IDENTITY,1.0
209.0,209.0,Fatehpur,Fatehpur,Uttar Pradesh,,IDENTITY,1.0
210.0,210.0,Allahabad,Allahabad,Uttar Pradesh,,IDENTITY,1.0
211.0,211.0,Jhansi,Jhansi,Uttar Pradesh,,IDENTITY,1.0
213.0,213.0,Jalaun,Jalaun,Uttar Pradesh,,IDENTITY,1.0
214.0,214.0,Hamirpur,Hamirpur,Uttar Pradesh,,IDENTITY,1.0
215.0,215.0,Banda,Banda,Uttar Pradesh,,IDENTITY,1.0
216.0,216.0,Varanasi,Varanasi,Uttar Pradesh,,IDENTITY,1.0
217.0,217.0,Mirzpur,Mirzpur,Uttar Pradesh,,IDENTITY,1.0
218.0,218.0,Jaunpur,Jaunpur,Uttar Pradesh,,IDENTITY,1.0
219.0,219.0,Ghazipur,Ghazipur,Uttar Pradesh,,IDENTITY,1.0
220.0,220.0,Ballia,Ballia,Uttar Pradesh,,IDENTITY,1.0
221.0,221.0,Gorakhpur,Gorakhpur,Uttar Pradesh,,IDENTITY,1.0
222.0,222.0,Deoria,Deoria,Uttar Pradesh,,IDENTITY,1.0
223.0,223.0,Basti,Basti,Uttar Pradesh,,IDENTITY,1.0
224.0,224.0,Azamgarh,Azamgarh,Uttar Pradesh,,IDENTITY,1.0
225.0,225.0,Lucknow,Lucknow,Uttar Pradesh,,IDENTITY,1.0
226.0,226.0,Unnao,Unnao,Uttar Pradesh,,IDENTITY,1.0
